"UAL_promoter","Plate","Well","Reports_genes"
"ybcK","AZ01","G7","ybcK"
"ybcL","AZ01","G8","ybcL,ybcM"
"ybcV","AZ15","B4","ybcV"
"ybcW","AZ03","D1","ybcW"
"ybcY","AZ15","B12","ybcY"
"ybdF","AZ14","D9","ybdF"
"ybdG","AZ07","B7","ybdG"
"ybdH","AZ06","H3","ybdH"
"ybdK","AZ15","C2","ybdK"
"ybdL","AZ06","G2","ybdL"
"ybdN","AZ14","D10","ybdN"
"ybdR","AZ14","A7","ybdR"
"ybeB","AZ12","C8","rsfS,rlmH,mrdA,mrdB,rlpA"
"ybeF","AZ07","B8","ybeF"
"ybeL","AZ20","E10","ybeL"
"ybeQ","AZ14","F11","ybeQ"
"ybeR","AZ14","A8","ybeR,djlB"
"ybeT","AZ14","F12","ybeT"
"ybeU","AZ14","A9","ybeU,djlC"
"ybeZ","AZ14","C5","ybeZ,ybeY,ybeX,lnt"
"ybfD","AZ12","H7","ybfD"
"ybfE","AZ12","E8","ybfE"
"ybfF","AZ10","E8","ybfF"
"ybgA","AZ12","H8","ybgA,phr"
"ybgC","AZ12","H11","ybgC,tolQ,tolR,tolA"
"ybgD","AZ07","C1","ybgD"
"ybgH","AZ13","A4","dtpD"
"ybgI","AZ12","D1","ybgI,ybgJ,ybgK,ybgL,nei"
"ybgQ","AZ07","B11","ybgQ,ybgP,ybgO"
"ybgS","AZ01","C12","ybgS"
"ybhA","AZ14","G1","ybhA"
"ybhC","AZ07","C2","ybhC"
"ybhD","AZ04","H2","ybhD"
"ybhE","AZ14","A11","pgl"
"ybhI","AZ15","B5","ybhI"
"ybhJ","AZ07","D10","ybhJ"
"ybhK","AZ07","G10","ybhK"
"ybhM","AZ13","C5","ybhM"
"ybhQ","AZ14","B1","ybhQ"
"ybiA","AZ13","B1","ybiA"
"ybiF","AZ19","B2","rhtA"
"ybiH","AZ06","H4","cecR,ybhG,ybhF,ybhS,ybhR"
"ybiJ","AZ15","A8","ybiJ"
"ybiM","AZ14","G2","mcbA"
"ybiN","AZ14","B2","rlmF"
"ybiO","AZ07","C5","ybiO"
"ybiS","AZ13","A5","ldtB"
"ybiU","AZ15","A10","ybiU"
"ybiV","AZ15","A11","ybiV"
"ybjC","AZ18","B4","ybjC,nfsA,rimK,ybjN"
"ybjE","AZ07","C8","lysO"
"ybjG","AZ21","A6","ybjG"
"ybjH","AZ15","B1","ybjH"
"ybjJ","AZ06","H5","ybjJ,ybjI"
"ybjK","AZ06","G4","rcdA"
"ybjL","AZ15","E7","ybjL"
"ybjM","AZ15","E1","ybjM"
"ybjN","AZ07","E10","ybjN"
"ybjO","AZ13","C6","ybjO,rlmC"
"ybjP","AZ15","E6","ybjP"
"ybjQ","AZ15","D12","ybjQ,amiD"
"ybjS","AZ07","C6","ybjS"
"ycaC","AZ16","B12","ycaC"
"ycaD","AZ15","G2","ycaD"
"ycaI","AZ13","C8","ycaI,msbA,lpxK,ycaQ"
"ycaK","AZ15","G3","ycaK"
"ycaL","AZ13","C7","ycaL"
"ycaN","AZ16","C1","ycaN"
"ycaO","AZ16","C2","ycaO"
"ycaP","AZ15","G4","ycaP"
"ycbB","AZ07","E6","ldtD"
"ycbC","AZ05","E11","elyC"
"ycbK","AZ13","C9","ycbK,gloC"
"ycbR","AZ07","E5","elfD,elfC,elfG,ycbU,ycbV,ycbF"
"ycbW","AZ13","C11","zapC"
"ycbZ","AZ02","G6","ycbZ"
"yccA","AZ07","C9","yccA"
"yccE","AZ13","D12","yccE"
"yccF","AZ10","E9","yccF,yccS"
"yccM","AZ15","B3","yccM"
"yccR","AZ12","E6","sxy"
"ycdC","AZ15","G6","rutR"
"ycdM","AZ16","C4","rutA,rutB,rutC,rutD,rutE,rutF,rutG"
"ycdN","AZ13","C12","efeU_1,efeU_2"
"ycdO","AZ14","D12","efeO,efeB"
"ycdZ","AZ14","E8","ycdZ"
"yceF","AZ16","C6","yceF"
"yceK","AZ14","E10","yceK"
"yceP","AZ15","D5","bssS"
"ycfD","AZ15","D8","roxA"
"ycfJ","AZ14","E11","ycfJ"
"ycfQ","AZ16","C7","comR"
"ycfR","AZ15","G9","bhsA"
"ycfS","AZ15","D7","ldtC"
"ycfT","AZ14","G8","ycfT"
"ycgE","AZ07","D1","bluR"
"ycgF","AZ10","F6","bluF"
"ycgH","AZ14","E12","ycgH_2"
"ycgI","AZ15","G11","ymgH,ycgI,ymgJ"
"ycgJ","AZ12","D3","ycgJ"
"ycgK","AZ13","A8","pliG"
"ycgL","AZ12","D4","ycgL"
"ycgM","AZ07","E3","ycgM"
"ycgN","AZ14","F1","ycgN"
"ycgR","AZ16","C12","ycgR"
"ycgX","AZ15","D9","ycgX"
"ycgY","AZ14","F2","ycgY"
"ychF","AZ17","E12","ychF"
"ychH","AZ11","H5","ychH"
"ychJ","AZ16","F11","ychJ"
"ychM","AZ17","A4","dauA"
"yciA","AZ15","D11","yciA"
"yciC","AZ16","F12","yciC,yciB"
"yciG","AZ12","E9","yciG,yciF,yciE"
"yciI","AZ16","G4","yciI"
"yciK","AZ03","E3","yciK,btuR"
"yciS","AZ14","F6","lapA,lapB,pyrF,yciH"
"yciT","AZ17","H6","yciZ,yciT"
"yciW","AZ17","F2","yciW"
"ycjG","AZ13","E1","ycjG"
"ycjK","AZ02","G12","puuA,puuP"
"ycjL","AZ03","A1","puuD,puuR,puuC,puuB,puuE"
"ycjM","AZ07","E4","ycjM,ycjN,ycjO,ycjP,ycjQ,ycjR,ycjS,ycjT,ycjU,ycjV,ymjB"
"ycjW","AZ02","H2","ycjW"
"ycjX","AZ03","A2","ycjX,ycjF,tyrR"
"ycjY","AZ16","G1","ycjY,ymjD,ymjC,mpaA"
"ycjZ","AZ16","E1","pgrR"
"ydaG","AZ16","B6","ydaG,ydaF"
"ydaO","AZ16","B5","ttcA"
"ydaQ","AZ10","D11","ydaQ"
"ydbC","AZ15","C6","ydbC"
"ydbD","AZ15","C7","ydbD"
"ydbH","AZ12","D5","ydbH,ynbE,ydbL"
"ydcA","AZ15","C12","ydcA"
"ydcF","AZ15","C8","ydcF"
"ydcG","AZ17","H10","opgD"
"ydcI","AZ16","F9","ydcI"
"ydcJ","AZ16","D10","ydcJ"
"ydcK","AZ13","H6","ydcK"
"ydcL","AZ15","C11","ydcL"
"ydcM","AZ17","H11","insQ"
"ydcR","AZ17","H7","ydcR"
"ydcS","AZ15","B8","ydcS,ydcT,ydcU,ydcV,patD"
"ydcX","AZ15","D1","ydcX"
"yddA","AZ14","C9","yddA,yddB"
"yddE","AZ16","B9","yddE"
"yddH","AZ13","A10","yddH"
"yddL","AZ17","F6","yddL,yddK,yddJ"
"yddM","AZ16","B10","yddM"
"yddW","AZ16","E11","yddW"
"ydeA","AZ14","E3","ydeA"
"ydeI","AZ13","A11","ydeI"
"ydeJ","AZ12","D7","ydeJ"
"ydeO","AZ12","B8","ydeO"
"ydeP","AZ12","C5","ydeP"
"ydeQ","AZ17","F7","ydeQ"
"ydeV","AZ17","F8","lsrK"
"ydfA","AZ11","B3","ydfA,ydfB,ydfC"
"ydfE","AZ15","F2","ydfE"
"ydfH","AZ06","F2","ydfH"
"ydfI","AZ17","F11","ydfI"
"ydfO","AZ05","G10","ynfO,ydfO"
"ydfV","AZ20","B12","ydfV"
"ydfZ","AZ15","D4","ydfZ"
"ydgA","AZ15","F5","ydgA"
"ydgC","AZ11","D2","ydgC"
"ydgD","AZ15","F4","ydgD,ydgU"
"ydgH","AZ06","G7","ydgH"
"ydgI","AZ06","E7","ydgI,folM"
"ydgK","AZ15","F6","ydgK,rsxA,rsxB,rsxC,rsxD,rsxG,rsxE,nth"
"ydgL","AZ12","G10","rsxA"
"ydgR","AZ15","F7","dtpA"
"ydhB","AZ16","D3","ydhB"
"ydhD","AZ11","D4","grxD"
"ydhH","AZ11","D3","anmK"
"ydhO","AZ04","H6","mepH"
"ydhP","AZ16","C9","ydhP,ynhF"
"ydhQ","AZ08","F6","ydhQ"
"ydhR","AZ15","F8","ydhR"
"ydhS","AZ15","F9","ydhS"
"ydhZ","AZ02","C2","ydhZ"
"ydiF","AZ06","E9","ydiF,ydiO"
"ydiL","AZ15","F11","rprA,ydiL"
"ydiM","AZ06","E8","ydiM"
"ydiP","AZ02","H5","ydiP"
"ydiQ","AZ03","A5","ydiQ,ydiR,ydiS,ydiT,fadK"
"ydiS","AZ06","E10","ydiS"
"ydiU","AZ17","A11","ydiU"
"ydiV","AZ17","B1","ydiV"
"ydiY","AZ02","B6","ydiY"
"ydjA","AZ13","B3","ydjA,selD,topB"
"ydjF","AZ17","G3","ydjF"
"ydjL","AZ17","G4","ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG"
"ydjN","AZ06","E5","tcyP"
"ydjX","AZ16","E10","ydjX,ydjY,ydjZ,ynjA,ynjB,ynjC,ynjD"
"yeaE","AZ17","B2","yeaE"
"yeaH","AZ20","H11","yeaH"
"yeaL","AZ10","F9","yeaL"
"yeaM","AZ02","H6","nimR"
"yeaP","AZ10","F11","dgcP"
"yeaS","AZ11","B5","leuE"
"yeaT","AZ02","H7","dmlR"
"yeaU","AZ03","A6","dmlA"
"yeaV","AZ15","B9","yeaV,yeaW"
"yeaX","AZ05","A3","yeaX"
"yeaZ","AZ11","B6","tsaB,yeaY"
"yebA","AZ16","D7","mepM"
"yebB","AZ20","A9","yebB"
"yebE","AZ11","B9","yebE"
"yebF","AZ05","G11","yebF"
"yebF","AZ21","A8","yebF"
"yebG","AZ13","B4","yebG"
"yebO","AZ11","B8","yebO"
"yebQ","AZ15","H5","yebQ"
"yebR","AZ04","F11","msrC"
"yebS","AZ10","G1","yebS,yebT"
"yebU","AZ05","A4","rsmF"
"yecF","AZ20","G10","yecF"
"yecH","AZ17","D11","yecH"
"yecM","AZ10","E10","yecM,cutC"
"yedP","AZ18","D11","yedP"
"yedQ","AZ04","E11","dgcQ"
"yedW","AZ02","H8","yedW,yedV"
"yedX","AZ03","A7","yedX"
"yedY","AZ05","A6","msrP,msrQ"
"yeeA","AZ04","F1","yeeA"
"yeeE","AZ17","G11","yeeE,yeeD"
"yeeI","AZ08","A9","mtfA"
"yeeJ","AZ05","B7","asnT"
"yeeO","AZ08","F8","yeeO"
"yeeR","AZ17","B6","yeeR,yeeS,yeeT,cbeA,cbtA,yeeW"
"yeeU","AZ05","B8","cbeA"
"yeeV","AZ17","B7","cbtA"
"yeeX","AZ17","G10","yeeX"
"yegE","AZ06","G8","dgcE"
"yegP","AZ17","B8","yegP"
"yegT","AZ01","H12","yegT,yegU,yegV"
"yegW","AZ17","H2","yegW"
"yehD","AZ17","H3","yehD,yehC,yehB,yehA"
"yehS","AZ12","B10","yehS"
"yehZ","AZ17","H4","osmF,yehY,yehX,yehW"
"yeiC","AZ17","H5","psuK,psuG"
"yeiE","AZ10","E2","yeiE"
"yeiG","AZ07","G4","yeiG"
"yeiM","AZ14","H10","psuT"
"yeiP","AZ05","B10","yeiP"
"yeiT","AZ05","B9","preT,preA"
"yejA","AZ15","B10","yejA,yejB,yejE,yejF"
"yejG","AZ04","F2","yejG"
"yejH","AZ08","A11","radD"
"yejK","AZ10","E12","yejK"
"yejL","AZ10","A5","yejL,yejM"
"yejO","AZ10","E3","yejO"
"yfaD","AZ17","B9","yfaD,ypaA"
"yfaL","AZ18","C4","yfaL"
"yfaY","AZ10","H4","yfaY"
"yfbE","AZ11","H6","arnB,arnC,arnA,arnD,arnT,arnE,arnF"
"yfbJ","AZ05","C2","arnE"
"yfbM","AZ21","A2","yfbM"
"yfbR","AZ05","C5","yfbR"
"yfbS","AZ06","B9","yfbS"
"yfbU","AZ10","H6","yfbU,yfbT"
"yfbV","AZ04","B5","yfbV"
"yfcC","AZ05","C6","yfcC"
"yfcD","AZ10","H7","yfcD"
"yfcE","AZ10","H8","yfcE"
"yfcG","AZ09","F12","yfcG"
"yfcI","AZ10","H9","yfcI"
"yfcJ","AZ16","A5","yfcJ"
"yfcU","AZ06","B12","yfcU,yfcT,yfcS,yfcR,yfcQ,yfcP,yfcO"
"yfcV","AZ06","C1","yfcV"
"yfdC","AZ08","G9","yfdC"
"yfdG","AZ17","B10","yfdG,yfdH,yfdI"
"yfdQ","AZ17","B11","yfdQ"
"yfdV","AZ06","C5","yfdV"
"yfdZ","AZ03","E4","alaC"
"yfeK","AZ18","B6","yfeK,yfeS"
"yfeN","AZ06","G9","yfeN"
"yfeY","AZ10","C12","yfeY,yfeX"
"yffH","AZ10","D3","nudK"
"yffS","AZ17","B12","yffS"
"yfgA","AZ06","C12","rodZ"
"yfgB","AZ10","D7","rlmN"
"yfgH","AZ17","C1","yfgH,yfgI"
"yfhB","AZ14","G11","pgpC,tadA"
"yfhG","AZ06","D3","yfhG"
"yfhH","AZ14","B10","yfhH"
"yfhK","AZ06","D4","glmY,glrK"
"yfhL","AZ17","C4","yfhL"
"yfhM","AZ19","C11","yfhM,pbpC"
"yfhR","AZ17","C2","yfhR"
"yfiC","AZ08","F12","yfiC"
"yfiE","AZ13","B5","yfiE"
"yfiF","AZ08","G1","yfiF"
"yfjG","AZ19","D1","ratA,ratB"
"yfjI","AZ17","C6","yfjI"
"yfjL","AZ10","D10","abpA,abpB"
"yfjM","AZ11","E4","yfjM"
"yfjN","AZ11","A1","rnlA,rnlB"
"yfjP","AZ05","D1","yfjP,yfjQ"
"yfjR","AZ05","D2","yfjR,ypjK,yfjS,yfjT"
"yfjW","AZ19","D11","yfjW"
"ygaQ","AZ19","E1","ygaQ"
"ygaV","AZ19","E2","ygaV,ygaP"
"ygaZ","AZ11","A8","ygaZ,ygaH"
"ygbA","AZ13","B6","ygbA"
"ygbI","AZ04","A10","ygbI"
"ygbJ","AZ03","E11","ygbJ,ygbK"
"ygbN","AZ16","A10","ygbN"
"ygcB","AZ10","A11","cas3"
"ygcF","AZ19","D5","queE"
"ygcW","AZ19","D4","ygcW"
"ygdI","AZ19","D6","ygdI"
"ygdL","AZ06","D10","tcdA"
"ygdQ","AZ05","D4","ygdQ"
"ygdR","AZ11","A9","ygdR"
"ygeA","AZ13","F1","ygeA"
"ygeF","AZ19","E5","ygeF"
"ygeG","AZ11","A11","ygeG"
"ygeI","AZ11","B1","ygeI"
"ygeQ","AZ10","B2","ygeQ"
"ygeR","AZ14","G6","ygeR"
"ygeX","AZ08","C9","ygeX"
"ygeY","AZ05","D7","ygeY"
"ygfF","AZ06","D12","ygfF"
"ygfU","AZ16","H2","uacT"
"yggD","AZ12","B7","yggD"
"yggE","AZ06","E2","yggE"
"yggH","AZ13","B8","trmI,yggL"
"yggM","AZ06","E4","yggM"
"ygiD","AZ09","D11","ygiD"
"ygiF","AZ09","D12","ygiF,glnE"
"ygiH","AZ05","E2","ygiH"
"ygiL","AZ05","D8","ygiL"
"ygiP","AZ04","B7","ttdR"
"ygiR","AZ04","F5","ygiQ"
"ygiS","AZ12","F2","ygiS"
"ygiU","AZ09","G9","mqsR,mqsA"
"ygiW","AZ09","D9","ygiW"
"ygiZ","AZ09","D10","ygiZ"
"ygjD","AZ20","A2","tsaD"
"ygjG","AZ01","B10","patA"
"ygjH","AZ02","G9","ygjH"
"ygjI","AZ17","B4","ygjI"
"ygjJ","AZ09","C9","ygjJ,ygjK"
"ygjN","AZ09","B6","higB,higA"
"ygjO","AZ05","H12","rlmG"
"ygjQ","AZ09","C11","ygjQ"
"ygjR","AZ09","C12","ygjR"
"ygjV","AZ09","B7","ygjV"
"yhaH","AZ02","F5","yhaH"
"yhaJ","AZ08","E6","yhaJ"
"yhaK","AZ07","H8","yhaK,yhaL"
"yhbC","AZ09","B9","rimP"
"yhbE","AZ09","C1","yhbE"
"yhbO","AZ07","H12","yhbO"
"yhbP","AZ08","E11","yhbP"
"yhbQ","AZ08","A1","yhbQ"
"yhbT","AZ08","E12","yhbT,yhbS"
"yhbU","AZ08","A2","yhbU,yhbV"
"yhbW","AZ03","C1","yhbW"
"yhbX","AZ09","B12","yhbX"
"yhcA","AZ03","C9","yhcA,yhcD,ychE_1"
"yhcB","AZ07","H10","yhcB"
"yhcF","AZ06","A4","ychE_2,yhcF"
"yhcG","AZ03","C11","yhcG"
"yhcM","AZ08","E8","zapE"
"yhcO","AZ09","C2","yhcO"
"yhdA","AZ08","E7","csrD"
"yhdH","AZ07","H9","yhdH"
"yhdJ","AZ18","A1","yhdJ"
"yhdN","AZ09","C5","yhdN,zntR"
"yhdX","AZ14","E4","yhdX"
"yhdY","AZ14","E5","yhdY"
"yheO","AZ09","C7","yheO,tusD,tusC,tusB"
"yheS","AZ14","B12","yheS,yheT,yheU"
"yhfA","AZ02","B9","yhfA"
"yhfG","AZ09","C8","yhfG,fic,pabA"
"yhfK","AZ03","C4","yhfK"
"yhfL","AZ03","C5","yhfL"
"yhfX","AZ04","D4","yhfX,yhfW,php,yhfU,yhfT,yhfS"
"yhfZ","AZ04","D5","yhfZ,yhfY"
"yhgA","AZ03","C7","yhgA"
"yhgE","AZ11","H10","yhgE"
"yhgF","AZ04","E4","yhgF"
"yhgN","AZ18","B10","yhgN"
"yhhF","AZ04","H10","rsmD,yhhL"
"yhhM","AZ04","A7","yhhM"
"yhhN","AZ03","E8","yhhN"
"yhhQ","AZ03","E9","yhhQ"
"yhhT","AZ16","E5","yhhT"
"yhhW","AZ04","D7","yhhW"
"yhhY","AZ03","E7","yhhY"
"yhhZ","AZ03","G10","yhhZ,yrhA,insA-6,insAB-6,insB-6"
"yhiD","AZ04","C9","yhiD"
"yhiI","AZ05","A1","yhiI,rbbA,yhhJ"
"yhiJ","AZ05","A2","yhiJ"
"yhiP","AZ03","G11","dtpB"
"yhiR","AZ10","G9","rlmJ"
"yhjB","AZ19","A3","yhjB"
"yhjC","AZ18","C12","yhjC"
"yhjG","AZ02","D12","yhjG"
"yhjJ","AZ02","E1","yhjJ"
"yhjK","AZ02","E2","pdeK"
"yhjR","AZ19","A4","yhjR"
"yhjX","AZ13","F4","yhjX"
"yhjY","AZ09","H8","yhjY"
"yiaD","AZ07","G6","yiaD"
"yiaF","AZ19","A5","yiaF"
"yiaG","AZ18","D2","yiaG"
"yiaJ","AZ19","A6","yiaJ"
"yiaT","AZ19","A7","yiaT"
"yiaU","AZ18","D3","yiaU"
"yiaW","AZ02","E5","yiaW,yiaV"
"yibF","AZ18","B1","yibF"
"yibK","AZ08","B8","trmL"
"yibL","AZ05","H4","yibL"
"yicC","AZ10","G11","yicC"
"yicH","AZ05","H5","yicH"
"yidE","AZ02","E6","yidE"
"yidH","AZ19","A10","yidH,yidG,yidF"
"yidI","AZ18","D7","yidI"
"yidK","AZ19","A8","yidK,yidJ"
"yidL","AZ18","D5","yidL"
"yidR","AZ19","A9","yidR"
"yidS","AZ18","D6","cbrA"
"yidX","AZ19","G10","yidX"
"yieE","AZ05","H6","yieE,yieF"
"yieG","AZ19","H8","adeP"
"yieH","AZ19","G11","yieH"
"yifB","AZ01","D6","yifB"
"yifE","AZ08","H5","yifE"
"yifM_2","AZ05","B1","wzyE"
"yigI","AZ07","A1","yigI"
"yihD","AZ07","G7","yihD"
"yihL","AZ05","H7","yihL,yihM"
"yihN","AZ12","B11","yihN"
"yihR","AZ02","E7","yihR"
"yihU","AZ19","H9","yihU,yihT,yihS"
"yihX","AZ05","H8","yihX,yihY,dtd,yiiD"
"yiiF","AZ05","C11","yiiF"
"yiiP","AZ15","C1","fieF"
"yiiQ","AZ19","H10","yiiQ"
"yiiR","AZ19","H2","yiiR"
"yiiU","AZ20","F5","zapB"
"yijF","AZ02","E9","yijF"
"yijO","AZ02","E10","yijO"
"yjaB","AZ01","D11","yjaB"
"yjaH","AZ11","E12","yjaH"
"yjbB","AZ18","F4","yjbB"
"yjbE","AZ18","F5","yjbE,yjbF,yjbG,yjbH"
"yjbI","AZ18","F9","yjbI"
"yjbJ","AZ18","F8","yjbJ"
"yjbQ","AZ18","F12","yjbQ,yjbR"
"yjcD","AZ18","G1","ghxP"
"yjcE","AZ15","C4","yjcE"
"yjcH","AZ03","B5","yjcH"
"yjcO","AZ03","B6","yjcO"
"yjdB","AZ03","B10","eptA"
"yjdF","AZ03","B12","yjdF"
"yjdI","AZ03","G1","yjdI,yjdJ"
"yjdK","AZ18","G2","ghoS,ghoT"
"yjeB","AZ18","G6","nsrR,rnr,rlmB,yjfI,yjfJ"
"yjeI","AZ18","G3","yjeI"
"yjeK","AZ09","F5","epmB"
"yjeN","AZ18","G4","yjeN,yjeO"
"yjfI","AZ18","G7","yjfI"
"yjfK","AZ18","G8","yjfK,yjfL,yjfM,yjfC"
"yjfQ","AZ03","H2","ulaR"
"yjfY","AZ20","A3","yjfY"
"yjgH","AZ03","H6","yjgH"
"yjgR","AZ03","H7","yjgR"
"yjhI","AZ05","G3","yjhI,yjhH,yjhG"
"yjhS","AZ05","G5","nanS"
"yjhU","AZ03","H8","yjhU"
"yjiA","AZ19","E7","yjiA"
"yjiH","AZ05","F6","yjiH,yjiG,iadA"
"yjiJ","AZ19","E9","yjiJ"
"yjiM","AZ19","E6","yjiM,yjiL"
"yjiT","AZ03","A9","yjiT"
"yjiW","AZ12","F8","symE"
"yjiX","AZ19","E8","yjiX,yjiA"
"yjiY","AZ12","A6","yjiY"
"yjjI","AZ05","F7","yjjI"
"yjjJ","AZ11","D5","yjjJ"
"yjjK","AZ14","H3","ettA"
"yjjL","AZ19","E10","lgoT"
"yjjU","AZ03","C2","yjjU,yjjV,ytjA"
"yjjV","AZ11","C6","yjjV"
"yjjY","AZ20","B10","yjjY"
"ykfA","AZ08","D2","ykfA,yafZ"
"ykfG","AZ02","H12","ykfG"
"ykfI","AZ01","H8","ykfI"
"ykfJ","AZ11","G11","ykfJ,prfH"
"ykgC","AZ05","E9","rclA,rclB,rclC"
"ykgD","AZ05","D10","rclR"
"ykgE","AZ07","D2","ykgE,ykgF,ykgG"
"ykgF","AZ11","E8","ykgF"
"ykgH","AZ12","F9","ykgH"
"ykgI","AZ12","G3","rclB"
"ykgJ","AZ06","A6","ykgJ"
"ykiA","AZ11","G10","ykiA"
"ylaB","AZ13","G5","pdeB"
"ylaC","AZ13","G6","ylaC"
"ylbE","AZ01","G4","ylbE"
"ylbG","AZ13","G8","ylbG"
"ylcE","AZ03","F4","tfaX"
"yliE","AZ15","C9","pdeI,dgcI"
"yliG","AZ15","E8","rimO"
"yliI","AZ07","E9","yliI"
"ymcC","AZ15","B2","gfcB,gfcC,gfcD"
"ymcE","AZ07","D12","ymcE,gnsA"
"ymdB","AZ14","E9","ymdB,clsC"
"ymdE","AZ15","G7","ymdE"
"ymfE","AZ13","A6","ymfE,ymfD"
"ymfI","AZ15","G10","ymfI"
"ymgE","AZ15","G12","ymgE"
"ymjA","AZ16","B3","ymjA"
"ynaI","AZ15","F1","ynaI"
"ynbA","AZ17","H9","ynbA,ynbB,ynbC,ynbD"
"yncA","AZ17","D6","mnaT,ydcZ"
"yncB","AZ17","C9","curA"
"yncC","AZ06","E11","mcbR"
"yncD","AZ02","H3","yncD"
"yncE","AZ03","A3","yncE"
"yncG","AZ16","G8","yncG"
"yncJ","AZ16","B8","yncJ"
"yneE","AZ16","E12","yneE"
"yneF","AZ17","F9","dgcF"
"yneH","AZ16","F1","yneH,yneG"
"yneI","AZ02","H4","sad"
"yneJ","AZ03","A4","yneJ"
"yneK","AZ13","B10","yneK"
"ynfA","AZ11","C12","ynfA"
"ynfB","AZ04","H3","ynfB,speG"
"ynfC","AZ11","D1","ynfC"
"ynfE","AZ06","F4","ynfE,ynfF,ynfG,ynfH,dmsD"
"ynfK","AZ07","A7","ynfK"
"ynfL","AZ16","D2","ynfL"
"ynfM","AZ15","H3","ynfM"
"yniA","AZ16","E9","yniA"
"yniC","AZ10","F7","yniC"
"ynjF","AZ04","F6","ynjF"
"yoaA","AZ04","F9","yoaA"
"yoaB","AZ10","F12","yoaB"
"yoaD","AZ21","A1","pdeD"
"yoaE","AZ17","D10","yoaE"
"yoaF","AZ04","F8","yoaF"
"yoaH","AZ07","H5","yoaH"
"yobF","AZ11","B7","yobF,cspC"
"yodB","AZ05","B6","yodB"
"yohC","AZ10","D12","yohC"
"yohD","AZ09","H10","yohD"
"yohJ","AZ09","H11","yohJ,yohK"
"yohL","AZ04","F12","rcnR"
"yohM","AZ10","G3","rcnA,rcnB"
"yojI","AZ14","D1","yojI"
"ypdA","AZ03","A8","ypdA,ypdB,ypdC"
"ypeA","AZ19","B6","ypeA,yfeZ"
"ypfG","AZ10","D2","ypfG"
"ypfH","AZ10","D4","ypfH"
"ypfJ","AZ10","D5","ypfJ,tmcA"
"yphF","AZ14","H12","yphF,yphE,yphD"
"yphG","AZ19","C12","yphG"
"yphH","AZ19","D9","yphH"
"ypjA","AZ10","A7","ypjA"
"ypjD","AZ13","E6","ypjD"
"yqaE","AZ19","D3","yqaE,kbp"
"yqcD","AZ13","E7","queF"
"yqcE","AZ19","E3","yqcE,ygcE"
"yqeG","AZ16","G12","yqeG"
"yqeH","AZ11","A10","yqeH"
"yqeI","AZ05","D5","yqeI,yqeJ"
"yqeK","AZ19","D7","yqeK"
"yqfA","AZ06","D11","yqfA"
"yqgA","AZ06","G10","yqgA"
"yqgD","AZ05","F8","yqgD"
"yqhH","AZ16","B1","yqhH"
"yqiC","AZ18","B7","yqiC"
"yqiJ","AZ08","G11","yqiJ,yqiK"
"yqjC","AZ02","G11","yqjC,yqjD,yqjE,yqjK"
"yqjF","AZ02","F2","yqjF"
"yqjG","AZ02","F4","yqjG"
"yqjH","AZ09","E1","yqjH"
"yqjI","AZ08","G6","yqjI"
"yraL","AZ08","E9","rsmI"
"yraM","AZ07","H11","lpoA"
"yraQ","AZ09","B10","yraQ"
"yraR","AZ08","E10","yraR"
"yrbA","AZ12","C4","ibaG,murA"
"yrbF","AZ14","G12","mlaF,mlaE,mlaD,mlaC,mlaB"
"yrbG","AZ14","B11","yrbG,kdsD,kdsC,lptC,lptA,lptB,rpoN,hpf,ptsN,rapZ,npr"
"yrbL","AZ03","C8","yrbL"
"yrfF","AZ03","E6","yrfF"
"ysgA","AZ05","F2","ysgA"
"ytfB","AZ09","F6","ytfB"
"ytfE","AZ03","H3","ytfE"
"ytfF","AZ03","H4","ytfF"
"ytfI","AZ18","G9","ytfI"
"ytfL","AZ03","H5","ytfL"
"ytfM","AZ08","H10","tamA,tamB,ytfP"
"ytfQ","AZ15","E4","ytfQ,ytfR,ytfT,yjfF"
"ytfR","AZ14","E7","ytfR"
"ytjB","AZ01","D12","ytjB,lplA"
"yzgL","AZ04","D6","yzgL"
"zitB","AZ14","H6","zitB"
"zntA","AZ16","H10","zntA"
"znuA","AZ14","G10","znuA"
"znuC","AZ14","B9","znuC,znuB"
"zraP","AZ04","B10","zraP"
"zraS","AZ03","F11","zraS,zraR"
"zupT","AZ08","G4","zupT"
