"UAL_promoter","Strand","Reports_genes","Gene","Operon","Operon_name","Duplicated_reporting"
"ompA",-1,"ompA","ompA",NA,NA,NA
"ompC",-1,"ompC","ompC",NA,NA,NA
"ompG",1,"ompG","ompG",NA,NA,NA
"ompN",-1,"ompN","ompN",NA,NA,NA
"ompR",-1,"ompR,envZ",NA,"ompR,envZ","ompR-envZ",NA
"ompT",-1,"ompT","ompT",NA,NA,"ompT"
"ompW",1,"ompW","ompW",NA,NA,NA
"ompX",1,"ompX","ompX",NA,NA,NA
"oppB",1,"oppB","oppB",NA,NA,NA
"osmB",-1,"osmB","osmB",NA,NA,NA
"osmC",1,"osmC","osmC",NA,NA,NA
"osmE",-1,"osmE","osmE",NA,NA,NA
"otsB",-1,"otsB,otsA",NA,"otsB,otsA","otsBA",NA
"oxyR",1,"oxyR","oxyR",NA,NA,NA
"paaX",1,"paaX,paaY",NA,"paaX,paaY","paaXY",NA
"pabC",1,"pabC,mltG,tmk,holB,ycfH",NA,"pabC,mltG,tmk,holB,ycfH","pabC-mltG-tmk-holB-ycfH",NA
"pagB",-1,"yjbD","yjbD",NA,NA,NA
"panB",-1,"panB,panC",NA,"panB,panC","panBC",NA
"panD",-1,"panD","panD",NA,NA,NA
"panE",-1,"panE,yajL",NA,"panE,yajL","panE-yajL",NA
"parC",-1,"parC","parC",NA,NA,NA
"pbpG",-1,"pbpG","pbpG",NA,NA,NA
"pck",1,"pck","pck",NA,NA,NA
"pcnB",-1,"pcnB,folK",NA,"pcnB,folK","pcnB-folK",NA
"pdhR",1,"pdhR,aceE,aceF,lpd",NA,"pdhR,aceE,aceF,lpd","pdhR-aceEF-lpd","lpd"
"pdxB",-1,"pdxB,usg,truA,dedA",NA,"pdxB,usg,truA,dedA","pdxB-usg-truA-dedA","usg,dedA"
"pdxH",-1,"pdxH,tyrS,pdxY",NA,"pdxH,tyrS,pdxY","pdxH-tyrS-pdxY","tyrS,pdxY"
"pdxK",-1,"pdxK","pdxK",NA,NA,NA
"pdxY",-1,"pdxY","pdxY",NA,NA,"pdxY"
"pepB",-1,"pepB","pepB",NA,NA,NA
"pepD",-1,"pepD","pepD",NA,NA,NA
"pepE",-1,"pepE","pepE",NA,NA,NA
"pepN",1,"pepN","pepN",NA,NA,NA
"pepQ",1,"pepQ,yigZ,trkH,hemG",NA,"pepQ,yigZ,trkH,hemG","pepQ-yigZ-trkH-hemG","hemG"
"pepT",1,"pepT","pepT",NA,NA,NA
"perR",-1,"perR","perR",NA,NA,NA
"pfkA",1,"pfkA","pfkA",NA,NA,NA
"pfkB",1,"pfkB","pfkB",NA,NA,NA
"pflA",-1,"pflA","pflA",NA,NA,NA
"pgi",1,"pgi","pgi",NA,NA,NA
"pgk",-1,"pgk","pgk",NA,NA,NA
"pgmI",1,"gpmM,envC,yibQ",NA,"gpmM,envC,yibQ","gpmM-envC-yibQ",NA
"pgpB",1,"pgpB","pgpB",NA,NA,NA
"pgsA",-1,"pgsA","pgsA",NA,NA,NA
"pheL",1,"pheL,pheA",NA,"pheL,pheA","pheLA",NA
"pheM",-1,"pheM","pheM",NA,NA,NA
"pheP",1,"pheP","pheP",NA,NA,NA
"pheS",-1,"pheS","pheS",NA,NA,NA
"phnC",-1,"phnC,phnD,phnE_1,phnE_2,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP",NA,"phnC,phnD,phnE_1,phnE_2,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP","phnCDE_1E_2FGHIJKLMNOP","phnL"
"phnL",-1,"phnL","phnL",NA,NA,"phnL"
"phoA",1,"phoA,psiF",NA,"phoA,psiF","phoA-psiF","psiF"
"phoB",1,"phoB,phoR",NA,"phoB,phoR","phoBR","phoR"
"phoH",1,"phoH","phoH",NA,NA,NA
"phoP",-1,"phoP,phoQ",NA,"phoP,phoQ","phoPQ",NA
"phoR",1,"phoR","phoR",NA,NA,"phoR"
"pinE",1,"pinE","pinE",NA,NA,NA
"pinH",-1,"pinH","pinH","pinH","pinH",NA
"pinR",-1,"pinR","pinR",NA,NA,NA
"pitA",1,"pitA","pitA",NA,NA,NA
"pitB",-1,"pitB","pitB",NA,NA,NA
"pldA",1,"pldA","pldA",NA,NA,NA
"pldB",1,"pldB,yigL",NA,"pldB,yigL","pldB-yigL",NA
"plsB",-1,"plsB","plsB",NA,NA,NA
"plsC",-1,"plsC","plsC",NA,NA,NA
"plsX",1,"plsX","plsX",NA,NA,NA
"pmbA",1,"pmbA","pmbA",NA,NA,NA
"pmrD",-1,"pmrD","pmrD",NA,NA,NA
"pncB",-1,"pncB","pncB",NA,NA,NA
"pnp",-1,"pnp","pnp",NA,NA,NA
"pntA",-1,"pntA,pntB",NA,"pntA,pntB","pntAB",NA
"polA",1,"polA","polA",NA,NA,NA
"polB",-1,"polB","polB",NA,NA,NA
"potA",-1,"potA,potB,potC,potD",NA,"potA,potB,potC,potD","potABCD",NA
"potF",1,"potF,potG,potH,potI",NA,"potF,potG,potH,potI","potFGHI",NA
"poxB",-1,"poxB,ltaE,ybjT",NA,"poxB,ltaE,ybjT","poxB-ltaE-ybjT",NA
"ppa",-1,"ppa","ppa",NA,NA,NA
"ppdD",-1,"ppdD,hofB,hofC",NA,"ppdD,hofB,hofC","ppdD-hofBC",NA
"pphA",-1,"pphA,sdsR","pphA,sdsR","sdsR","sdsR",NA
"ppiA",-1,"ppiA","ppiA",NA,NA,NA
"ppiB",-1,"ppiB,lpxH",NA,"ppiB,lpxH","ppiB-lpxH",NA
"ppiC",-1,"ppiC","ppiC",NA,NA,NA
"ppiD",1,"ppiD","ppiD",NA,NA,NA
"pppA",-1,"pppA","pppA",NA,NA,NA
"pqiA",1,"pqiA,pqiB",NA,"pqiA,pqiB","pqiAB",NA
"prfB",-1,"prfB","prfB",NA,NA,NA
"prfC",1,"prfC","prfC",NA,NA,NA
"priA",-1,"priA","priA",NA,NA,NA
"priC",-1,"priC,ybaM",NA,"priC,ybaM","priC-ybaM",NA
"prlC",-1,"prlC,rsmJ",NA,"prlC,rsmJ","prlC-rsmJ",NA
"proL",1,"proL","proL",NA,NA,NA
"proQ",-1,"proQ,prc",NA,"proQ,prc","proQ-prc",NA
"proS",-1,"proS","proS",NA,NA,NA
"proX",1,"proX","proX",NA,NA,NA
"prpB",1,"prpB,prpC,prpD,prpE",NA,"prpB,prpC,prpD,prpE","prpBCDE",NA
"prpR",-1,"prpR","prpR",NA,NA,NA
"psiE",1,"psiE","psiE",NA,NA,NA
"psiF",1,"psiF","psiF",NA,NA,"psiF"
"pspB",1,"pspB","pspB",NA,NA,NA
"pspE",1,"pspE","pspE",NA,NA,NA
"pspF",-1,"pspF","pspF",NA,NA,NA
"pstC",-1,"pstC","pstC",NA,NA,"pstC"
"pstS",-1,"pstS,pstC,pstA,pstB,phoU",NA,"pstS,pstC,pstA,pstB,phoU","pstSCAB-phoU","pstC"
"pth",-1,"pth,ychF",NA,"pth,ychF","pth-ychF","ychF"
"ptrB",-1,"ptrB","ptrB",NA,NA,NA
"ptsG",1,"ptsG","ptsG",NA,NA,NA
"purM",1,"purM,purN",NA,"purM,purN","purMN",NA
"purT",1,"purT","purT",NA,NA,NA
"pykF",1,"pykF","pykF",NA,NA,NA
"pyrB",-1,"pyrB","pyrB",NA,NA,NA
"pyrC",-1,"pyrC","pyrC",NA,NA,NA
"pyrG",-1,"pyrG,eno",NA,"pyrG,eno","pyrG-eno","eno"
"pyrH",1,"pyrH","pyrH",NA,NA,NA
"qseB",1,"qseB,qseC",NA,"qseB,qseC","qseBC",NA
"racC",-1,"racC","racC",NA,NA,NA
"racR",-1,"racR","racR",NA,NA,NA
"rbsD",1,"rbsD,rbsA,rbsC,rbsB,rbsK,rbsR",NA,"rbsD,rbsA,rbsC,rbsB,rbsK,rbsR","rbsDACBKR",NA
"rcsA",1,"rcsA","rcsA",NA,NA,NA
"rcsC",-1,"rcsC","rcsC",NA,NA,NA
"rcsF",-1,"rcsF,trmO",NA,"rcsF,trmO","rcsF-trmO",NA
"rdoA",1,"rdoA,dsbA",NA,"rdoA,dsbA","rdoA-dsbA",NA
"recA",-1,"recA,recX",NA,"recA,recX","recAX","recX"
"recE",-1,"recE,recT,ralR,ydaC,xisR,intR",NA,"recE,recT,ralR,ydaC,xisR,intR","recET-ralR-ydaC-xisR-intR",NA
"recX",-1,"recX","recX",NA,NA,"recX"
"relA",-1,"relA,mazE,mazF,mazG",NA,"relA,mazE,mazF,mazG","relA-mazEFG","mazE,mazG"
"relB",-1,"relB,relE,hokD",NA,"relB,relE,hokD","relBE-hokD",NA
"renD",1,"renD,emrE",NA,"renD,emrE","renD-emrE","renD,emrE"
"rfaD",1,"rfaD,waaF,waaC,waaL",NA,"rfaD,waaF,waaC,waaL","rfaD-waaFCL",NA
"rfaH",-1,"rfaH","rfaH",NA,NA,NA
"rfaQ",-1,"waaQ,waaG,waaP,waaS,waaB,waaO,waaJ,waaY,waaZ,waaU",NA,"waaQ,waaG,waaP,waaS,waaB,waaO,waaJ,waaY,waaZ,waaU","waaQGPSBOJYZU","waaZ"
"rfaZ",-1,"waaZ","waaZ",NA,NA,"waaZ"
"rfbA",-1,"rfbA","rfbA",NA,NA,"rfbA"
"rfbB",-1,"rfbB,rfbD,rfbA,rfbC,rfbX",NA,"rfbB,rfbD,rfbA,rfbC,rfbX","rfbBDACX","rfbA"
"rfe",1,"rfe,wzzE,wecB,wecC,rffG,rffH,rffC,wecE,wzxE,rffT,wzyE,rffM",NA,"rfe,wzzE,wecB,wecC,rffG,rffH,rffC,wecE,wzxE,rffT,wzyE,rffM","rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM","wzyE"
"rffC",1,"wecD","wecD",NA,NA,NA
"rhaB",-1,"rhaB,rhaA,rhaD",NA,"rhaB,rhaA,rhaD","rhaBAD","rhaD"
"rhaD",-1,"rhaD","rhaD",NA,NA,"rhaD"
"rhaS",1,"rhaS,rhaR",NA,"rhaS,rhaR","rhaSR",NA
"rhaT",-1,"rhaT","rhaT",NA,NA,NA
"rhlB",-1,"rhlB","rhlB",NA,NA,NA
"rhlE",1,"rhlE","rhlE",NA,NA,NA
"rho",1,"rho","rho",NA,NA,"rho"
"rhoL",1,"rhoL,rho",NA,"rhoL,rho","rhoL-rho","rho"
"rhsA",1,"rhsA,yibA",NA,"rhsA,yibA","rhsA-yibA",NA
"rhsB",1,"rhsB","rhsB",NA,NA,NA
"rhsD",1,"rhsD,ybbC,ylbH,ybbD",NA,"rhsD,ybbC,ylbH,ybbD","rhsD-ybbC-ylbH-ybbD","ybbC"
"rhsE",1,"rhsE,ydcD","rhsE","rhsE,ydcD","rhsE-ydcD",NA
"rhtB",-1,"rhtB","rhtB",NA,NA,NA
"ribA",-1,"ribA","ribA",NA,NA,NA
"ribB",-1,"sroG,ribB","ribB","sroG,ribB","sroG-ribB",NA
"ribC",1,"ribE","ribE",NA,NA,"ribE"
"ribE",-1,"ribC","ribC",NA,NA,NA
"rihA",-1,"rihA","rihA",NA,NA,NA
"rihC",1,"rihC","rihC",NA,NA,NA
"rimJ",1,"rimJ","rimJ",NA,NA,NA
"rimL",1,"rimL","rimL",NA,NA,NA
"rlmB",1,"rlmB","rlmB",NA,NA,"rlmB"
"rluB",1,"rluB","rluB",NA,NA,NA
"rluC",1,"rluC","rluC",NA,NA,NA
"rluD",-1,"rluD,yfiH",NA,"rluD,yfiH","rluD-yfiH",NA
"rluE",-1,"rluE,nudJ",NA,"rluE,nudJ","rluE-nudJ",NA
"rluF",1,"rluF","rluF",NA,NA,NA
"rmf",1,"rmf","rmf",NA,NA,NA
"rmuC",1,"rmuC","rmuC",NA,NA,NA
"rna",-1,"rna","rna",NA,NA,NA
"rnd",-1,"rnd","rnd",NA,NA,NA
"rne",-1,"rne","rne",NA,NA,NA
"rnhA",-1,"rnhA","rnhA",NA,NA,NA
"rnk",-1,"rnk","rnk",NA,NA,NA
"rnt",1,"rnt,lhr",NA,"rnt,lhr","rnt-lhr",NA
"rob",-1,"rob","rob",NA,NA,NA
"rof",-1,"yaeP,rof",NA,"yaeP,rof","yaeP-rof",NA
"rpe",-1,"rpe","rpe",NA,NA,"rpe"
"rph",-1,"rph,pyrE",NA,"rph,pyrE","rph-pyrE",NA
"rpiA",-1,"rpiA","rpiA",NA,NA,NA
"rplL",1,"rplL","rplL",NA,NA,NA
"rplN",-1,"rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,secY,rpmJ",NA,"rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,secY,rpmJ","rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ",NA
"rplT",-1,"rplT","rplT",NA,NA,NA
"rplY",1,"rplY","rplY",NA,NA,NA
"rpmB",-1,"rpmB","rpmB",NA,NA,NA
"rpmE",1,"rpmE","rpmE",NA,NA,NA
"rpmI",-1,"rpmI","rpmI",NA,NA,NA
"rpoD",1,"rpoD","rpoD",NA,NA,"rpoD"
"rpoE",-1,"rpoE,rseA,rseB,rseC",NA,"rpoE,rseA,rseB,rseC","rpoE-rseABC",NA
"rpoH",-1,"rpoH","rpoH",NA,NA,NA
"rpoS",-1,"rpoS","rpoS",NA,NA,"rpoS"
"rpsA",1,"rpsA","rpsA",NA,NA,"rpsA"
"rpsB",1,"tff,rpsB,tsf","rpsB","tff,rpsB,tsf","tff-rpsB-tsf","tsf"
"rpsG",-1,"rpsG","rpsG",NA,NA,"rpsG"
"rpsJ",-1,"rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ",NA,"rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ","rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ",NA
"rpsL",-1,"rpsL,rpsG,fusA,tufA",NA,"rpsL,rpsG,fusA,tufA","rpsLG-fusA-tufA","rpsG,tufA"
"rpsM",-1,"rpsM,rpsK,rpsD,rpoA,rplQ",NA,"rpsM,rpsK,rpsD,rpoA,rplQ","rpsMKD-rpoA-rplQ",NA
"rpsO",-1,"rpsO","rpsO",NA,NA,NA
"rpsP",-1,"rpsP,rimM,trmD,rplS",NA,"rpsP,rimM,trmD,rplS","rpsP-rimM-trmD-rplS",NA
"rpsT",-1,"rpsT","rpsT",NA,NA,NA
"rpsU",1,"rpsU,dnaG,rpoD",NA,"rpsU,dnaG,rpoD","rpsU-dnaG-rpoD","rpoD"
"rrlA",1,"rrlA","rrlA",NA,NA,"rrlA"
"rrlB",1,"rrlE","rrlE",NA,NA,"rrlE"
"rrlD",-1,"rrlD","rrlD",NA,NA,"rrlD"
"rrlE",1,"rrlE","rrlE",NA,NA,"rrlE"
"rrlG",-1,"rrlG","rrlG",NA,NA,"rrlG"
"rrlH",1,"rrlA","rrlA",NA,NA,"rrlA"
"rrmA",-1,"rlmA","rlmA",NA,NA,NA
"rrnA",1,"rrsA,ileT,alaT,rrlA,rrfA",NA,"rrsA,ileT,alaT,rrlA,rrfA","rrsA-ileT-alaT-rrlA-rrfA","ileT,rrlA"
"rrnB",1,"rrsB,gltT,rrlB,rrfB",NA,"rrsB,gltT,rrlB,rrfB","rrsB-gltT-rrlB-rrfB",NA
"rrnC",1,"rrsC,gltU,rrlC,rrfC",NA,"rrsC,gltU,rrlC,rrfC","rrsC-gltU-rrlC-rrfC",NA
"rrnD",-1,"rrsD,ileU,alaU,rrlD,rrfD,thrV,rrfF",NA,"rrsD,ileU,alaU,rrlD,rrfD,thrV,rrfF","rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF","rrlD"
"rrnG",-1,"rrsG,gltW,rrlG,rrfG",NA,"rrsG,gltW,rrlG,rrfG","rrsG-gltW-rrlG-rrfG","rrlG"
"rrnH",1,"rrsH,ileV,alaV,rrlH,rrfH",NA,"rrsH,ileV,alaV,rrlH,rrfH","rrsH-ileV-alaV-rrlH-rrfH",NA
"rsd",-1,"rsd","rsd",NA,NA,NA
"rssA",1,"rssA,rssB",NA,"rssA,rssB","rssAB","rssB"
"rssB",1,"rssB","rssB",NA,NA,"rssB"
"rstA",1,"rstA,rstB",NA,"rstA,rstB","rstAB",NA
"rsuA",-1,"rsuA","rsuA",NA,NA,NA
"rumA",-1,"rlmD","rlmD",NA,NA,NA
"ruvA",-1,"ruvA,ruvB",NA,"ruvA,ruvB","ruvAB",NA
"sanA",1,"sanA,yeiS",NA,"sanA,yeiS","sanA-yeiS",NA
"sapA",-1,"sapA,sapB,sapC,sapD,sapF",NA,"sapA,sapB,sapC,sapD,sapF","sapABCDF",NA
"sbcB",1,"sbcB","sbcB",NA,NA,NA
"sbmA",1,"sbmA,yaiW",NA,"sbmA,yaiW","sbmA-yaiW","yaiW"
"sbmC",-1,"sbmC","sbmC",NA,NA,NA
"sdaA",1,"sdaA","sdaA",NA,NA,NA
"sdhC",1,"sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD",NA,"sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD","sdhCDAB-sucABCD","sucA"
"secA",1,"secA","secA",NA,NA,"secA"
"secB",-1,"secB","secB",NA,NA,NA
"secE",1,"secE,nusG",NA,"secE,nusG","secE-nusG",NA
"secM",1,"secM,secA,mutT",NA,"secM,secA,mutT","secMA-mutT","secA,mutT"
"selA",-1,"selA,selB",NA,"selA,selB","selAB",NA
"selC",1,"selC","selC",NA,NA,NA
"selD",-1,"selD","selD",NA,NA,"selD"
"seqA",1,"seqA,pgm",NA,"seqA,pgm","seqA-pgm",NA
"serA",-1,"serA","serA",NA,NA,NA
"serB",1,"serB,radA,nadR",NA,"serB,radA,nadR","serB-radA-nadR",NA
"serC",1,"serC,aroA",NA,"serC,aroA","serC-aroA",NA
"serU",-1,"serU","serU",NA,NA,NA
"serW",-1,"serW","serW",NA,NA,NA
"serX",-1,"serX","serX",NA,NA,NA
"setA",1,"sgrS,sgrT,setA","setA","sgrS,sgrT,setA","sgrST-setA",NA
"setB",1,"setB","setB",NA,NA,NA
"sfmA",1,"sfmA","sfmA",NA,NA,NA
"sfmC",1,"sfmC,sfmD",NA,"sfmC,sfmD","sfmCD",NA
"shiA",1,"shiA","shiA",NA,NA,NA
"sieB",1,"sieB","sieB",NA,NA,NA
"sirA",-1,"tusA","tusA",NA,NA,NA
"skp",1,"skp","skp",NA,NA,"skp"
"slp",1,"slp,dctR",NA,"slp,dctR","slp-dctR",NA
"slt",1,"slt","slt",NA,NA,NA
"slyA",-1,"slyA","slyA",NA,NA,NA
"slyB",1,"slyB","slyB",NA,NA,NA
"slyD",-1,"slyD","slyD",NA,NA,NA
"slyX",1,"slyX","slyX",NA,NA,NA
"smf",-1,"smf","smf",NA,NA,NA
"smpA",1,"bamE","bamE",NA,NA,NA
"smpB",1,"smpB","smpB",NA,NA,NA
"smtA",1,"cmoM,mukF,mukE,mukB",NA,"cmoM,mukF,mukE,mukB","cmoM-mukFEB",NA
"sodA",1,"sodA","sodA",NA,NA,NA
"sodB",1,"sodB","sodB",NA,NA,NA
"sodC",-1,"sodC","sodC",NA,NA,NA
"sohA",1,"prlF,yhaV",NA,"prlF,yhaV","prlF-yhaV",NA
"sohB",1,"sohB","sohB",NA,NA,NA
"solA",-1,"solA,yceO",NA,"solA,yceO","solA-yceO",NA
"somA",-1,"ybjX","ybjX",NA,NA,NA
"soxR",1,"soxR","soxR",NA,NA,NA
"soxS",-1,"soxS","soxS",NA,NA,NA
"speB",-1,"speB","speB",NA,NA,NA
"speC",-1,"speC","speC",NA,NA,NA
"speE",-1,"speE","speE",NA,NA,NA
"speF",-1,"speF,potE",NA,"speF,potE","speF-potE",NA
"sppA",1,"sppA","sppA",NA,NA,NA
"spr",1,"mepS","mepS",NA,NA,NA
"spy",-1,"spy","spy",NA,NA,NA
"srlR",1,"srlR","srlR",NA,NA,NA
"srmB",1,"srmB","srmB",NA,NA,NA
"ssb",1,"ssb","ssb",NA,NA,NA
"sscR",1,"queD","queD",NA,NA,NA
"sseA",1,"sseA","sseA",NA,NA,NA
"sseB",-1,"sseB","sseB",NA,NA,NA
"sspA",-1,"sspA,sspB",NA,"sspA,sspB","sspAB",NA
"ssrA",1,"ssrA","ssrA",NA,NA,NA
"sstT",1,"sstT","sstT",NA,NA,NA
"ssuE",-1,"ssuE,ssuA,ssuD,ssuC,ssuB",NA,"ssuE,ssuA,ssuD,ssuC,ssuB","ssuEADCB",NA
"stfE",-1,"stfE,tfaE","stfE","stfE,tfaE","stfE-tfaE",NA
"stfR",1,"stfR","stfR",NA,NA,NA
"sthA",-1,"sthA","sthA",NA,NA,NA
"stpA",-1,"stpA","stpA",NA,NA,NA
"sufI",-1,"ftsP","ftsP",NA,NA,NA
"sulA",-1,"sulA","sulA",NA,NA,NA
"syd",-1,"syd","syd",NA,NA,NA
"talA",1,"talA,tktB",NA,"talA,tktB","talA-tktB","tktB"
"talB",1,"talB","talB",NA,NA,NA
"tam",1,"tam","tam",NA,NA,"tam"
"tar",-1,"tar,tap,cheR,cheB,cheY,cheZ",NA,"tar,tap,cheR,cheB,cheY,cheZ","tar-tap-cheRBYZ",NA
"tatE",1,"tatE","tatE",NA,NA,NA
"tdcB",-1,"tdcB","tdcB",NA,NA,NA
"tdcG_2",-1,"tdcG","tdcG",NA,NA,NA
"tesB",-1,"tesB","tesB",NA,NA,NA
"tgt",1,"tgt,yajC,secD,secF",NA,"tgt,yajC,secD,secF","tgt-yajC-secDF","yajC"
"thiC",-1,"thiC,thiE,thiF,thiS,thiG,thiH",NA,"thiC,thiE,thiF,thiS,thiG,thiH","thiCEFSGH",NA
"thiI",1,"thiI","thiI",NA,NA,NA
"thiL",1,"thiL","thiL",NA,NA,"thiL"
"thiM",-1,"thiM,thiD",NA,"thiM,thiD","thiMD",NA
"thrU",1,"thrU,tyrU,glyT,thrT,tufB",NA,"thrU,tyrU,glyT,thrT,tufB","thrU-tyrU-glyT-thrT-tufB","tufB"
"tig",1,"tig","tig",NA,NA,NA
"tilS",1,"tilS","tilS",NA,NA,NA
"tktB",1,"tktB","tktB",NA,NA,"tktB"
"tnaC",1,"tnaC,tnaA,tnaB",NA,"tnaC,tnaA,tnaB","tnaCAB",NA
"tolA",1,"tolA","tolA",NA,NA,"tolA"
"tolB",1,"tolB,pal,cpoB",NA,"tolB,pal,cpoB","tolB-pal-cpoB",NA
"tolC",1,"tolC,ygiA,ygiB,ygiC",NA,"tolC,ygiA,ygiB,ygiC","tolC-ygiABC",NA
"tonB",1,"tonB","tonB",NA,NA,NA
"torR",-1,"torR","torR",NA,NA,NA
"torS",-1,"torS","torS",NA,NA,NA
"torT",1,"torT","torT",NA,NA,NA
"torY",-1,"torY,torZ",NA,"torY,torZ","torYZ",NA
"tpiA",-1,"tpiA","tpiA",NA,NA,NA
"treA",-1,"treA","treA",NA,NA,NA
"treB",-1,"treB,treC",NA,"treB,treC","treBC",NA
"treF",1,"treF","treF",NA,NA,NA
"trkA",1,"trkA","trkA",NA,NA,NA
"trmA",-1,"trmA","trmA",NA,NA,NA
"trmE",1,"mnmE","mnmE",NA,NA,NA
"trmU",-1,"mnmA","mnmA",NA,NA,NA
"trpL",-1,"trpL,trpE,trpD,trpC,trpB,trpA",NA,"trpL,trpE,trpD,trpC,trpB,trpA","trpLEDCBA",NA
"trpR",1,"trpR","trpR",NA,NA,NA
"trxA",1,"trxA","trxA",NA,NA,NA
"trxC",1,"trxC","trxC",NA,NA,NA
"tsf",1,"tsf","tsf",NA,NA,"tsf"
